MJD, Mag, MagErr
53478.295255,15.143460,0.015290
53478.304606,15.080630,0.015460
53478.313600,15.128020,0.016470
53506.195197,15.101630,0.014310
53506.204803,15.111040,0.013740
53506.214317,15.112200,0.013500
53506.223866,15.138280,0.013710
53506.233403,15.132120,0.013800
53745.403160,15.159110,0.018600
53745.416644,15.139700,0.017130
53745.429468,15.124340,0.014670
53745.442917,15.128190,0.013810
53745.456389,15.145400,0.012900
53758.464896,15.120190,0.014450
53758.477882,15.118900,0.012510
53758.490440,15.085710,0.011590
53758.503079,15.118490,0.011630
53758.515972,15.096800,0.011640
53789.407315,15.121440,0.013200
53789.419340,15.211370,0.032950
53789.431412,15.031440,0.023920
53789.443437,15.151760,0.016940
53789.455486,14.950890,0.058900
53792.404317,15.131280,0.013210
53792.416250,15.191710,0.014170
53792.428183,15.127520,0.018910
53792.440116,15.197500,0.022610
53792.452072,15.176930,0.038340
53802.393866,15.191630,0.013200
53802.405370,15.168800,0.012070
53802.416863,15.264240,0.060890
53802.428356,15.180440,0.011050
53802.439838,15.175590,0.011160
53816.360324,15.037860,0.046340
53816.371898,15.134300,0.010600
53816.383356,15.140700,0.011230
53816.406979,15.140170,0.011550
53821.369549,15.222810,0.025330
53821.382488,15.170200,0.050170
53821.424109,15.134390,0.050390
53824.423056,15.376020,0.019540
53824.446956,15.676400,0.032170
53824.468866,15.157440,0.015680
53828.413310,15.252950,0.070270
53831.328843,15.142230,0.011170
53831.338623,15.142960,0.011550
53831.348403,15.138820,0.011570
53831.358461,15.136560,0.011990
53831.368241,15.119180,0.011880
53846.300544,15.175200,0.015970
53846.311562,15.184490,0.013400
53846.322581,15.181050,0.013010
53846.333576,15.171480,0.012680
53846.344606,15.167190,0.011910
53851.296389,15.184860,0.012330
53851.306609,15.172030,0.014920
53851.317234,15.164140,0.014770
53851.327720,15.156370,0.013590
53851.338183,15.179110,0.013150
53857.326956,15.148570,0.010930
53857.337292,15.144070,0.011420
53857.347604,15.144360,0.011720
53857.358391,15.181700,0.016330
53857.369190,15.178530,0.018160
53879.232755,15.108570,0.011400
53879.245046,15.072390,0.010960
53879.257523,15.087320,0.011560
53879.269502,15.109590,0.010700
53885.213299,15.125010,0.011860
53885.238160,15.096760,0.013440
53885.250359,15.139190,0.013110
53885.263125,15.135520,0.013090
53891.184641,15.249690,0.041220
53891.202824,15.135630,0.044160
53891.220579,15.215210,0.045190
53891.239907,15.104740,0.042920
54148.353137,15.065150,0.008450
54148.365278,15.096020,0.009490
54148.377350,15.075800,0.008540
54148.389595,15.082510,0.009410
54153.386852,15.035030,0.009980
54153.398600,15.087660,0.010180
54153.410336,15.023960,0.010010
54153.422083,15.064760,0.012460
54153.433877,15.086870,0.016450
54158.343530,15.028660,0.010620
54158.355220,15.062500,0.012020
54158.367025,15.064120,0.010930
54158.378750,15.051670,0.009750
54158.390475,15.066780,0.009770
54174.371898,15.058690,0.008070
54174.393472,15.070200,0.009500
54174.404375,14.937240,0.022560
54174.415162,15.081810,0.008990
54177.348507,15.090360,0.009890
54177.352106,15.036500,0.010440
54177.360313,15.334980,0.025120
54177.362813,15.030940,0.045540
54177.372882,15.220950,0.015710
54177.373634,14.938110,0.023330
54177.384560,15.109340,0.009560
54177.396262,15.125510,0.009410
54180.387604,15.075620,0.007610
54180.408958,15.093700,0.008410
54180.419780,15.071190,0.007950
54180.430486,15.065530,0.008130
54205.315278,15.039480,0.008870
54205.324803,15.048390,0.008050
54205.335150,15.046410,0.008050
54205.344699,15.047820,0.008460
54205.354225,15.035240,0.008110
54208.308576,15.069280,0.008530
54208.317789,15.055700,0.008980
54208.327141,15.081650,0.009260
54208.336389,15.055200,0.009340
